t,dataset 1,dataset 2,dataset 3,dataset 4,dataset 5,dataset 6
11600,97.70528959,,58.68117997,85.94020898,70.11385502,105.3939135
11700,98.53133986,,58.86613203,86.59717009,70.46214041,106.3530976
11800,99.3644807,,59.05267166,87.25977035,70.81341538,107.3205151
11900,100.2047121,,59.24079886,87.92800976,71.16767992,108.296166
12000,101.052034,,59.43051364,88.60188832,71.52493403,109.2800501
12100,101.9064466,,59.62181599,89.28140604,71.88517772,110.2721676
12200,102.7679496,,59.8147059,89.9665629,72.24841098,111.2725185
12300,103.6365433,,60.00918339,90.65735892,72.61463382,112.2811027
12400,104.5122275,,60.20524845,91.35379409,72.98384623,113.2979202
12500,105.3950022,,60.40290108,92.05586841,73.35604821,114.322971
12600,106.2848675,,60.60214129,92.76358188,73.73123977,115.3562553
12700,107.1818234,,60.80296906,93.4769345,74.1094209,116.3977728
12800,108.0858698,,61.00538441,94.19592627,74.49059161,117.4475237
12900,108.9970068,,61.20938732,94.92055719,74.87475189,118.5055079
13000,109.9152344,,61.41497781,95.65082727,75.26190175,119.5717255
13100,110.8405525,,61.62215587,96.38673649,75.65204117,
13200,111.7729612,,61.8309215,97.12828487,76.04517018,
13300,112.7124604,,62.04127471,97.8754724,76.44128876,
13400,113.6590502,,62.25321548,98.62829908,76.84039691,
13500,114.6127306,,62.46674382,99.38676491,77.24249463,
13600,115.5735015,,62.68185974,100.1508699,77.64758193,
13700,116.541363,,62.89856323,100.920614,78.05565881,
13800,117.516315,,63.11685429,101.6959973,78.46672526,
13900,118.4983576,,63.33673292,102.4770197,78.88078128,
14000,119.4874908,,63.55819912,103.2636813,79.29782688,
14100,,,63.78125289,104.0559821,79.71786205,
14200,,,64.00589424,104.853922,80.14088679,
14300,,,64.23212315,105.657501,80.56690111,
14400,,,64.45993964,106.4667192,80.99590501,
14500,,,64.6893437,107.2815765,81.42789847,
14600,,,64.92033533,108.102073,81.86288152,
14700,,,65.15291453,108.9282087,82.30085413,
14800,,,65.3870813,109.7599835,82.74181632,
14900,,,65.62283565,110.5973974,83.18576809,
15000,,,65.86017756,111.4404505,83.63270942,
15100,,,66.09910705,112.2891428,84.08264034,
15200,,,66.33962411,113.1434742,84.53556082,
15300,,,66.58172873,114.0034447,84.99147089,
15400,,,66.82542093,114.8690544,85.45037052,
15500,,,67.07070071,115.7403033,85.91225973,
15600,,,67.31756805,116.6171913,86.37713851,
15700,,,67.56602296,117.4997184,86.84500687,
15800,,,67.81606545,118.3878847,87.3158648,
15900,,,68.06769551,119.2816902,87.78971231,
16000,,,68.32091314,,88.26654939,
16100,,,68.57571834,,88.74637604,
16200,,,68.83211111,,89.22919227,
16300,,,69.09009145,,89.71499808,
16400,,,69.34965936,,90.20379345,
16500,,,69.61081485,,90.6955784,
16600,,,69.87355791,,91.19035293,
16700,,,70.13788853,,91.68811703,
16800,,,70.40380673,,92.1888707,
16900,,,70.6713125,,92.69261395,
17000,,,70.94040584,,93.19934677,
17100,,,71.21108676,,93.70906917,
17200,,,71.48335524,,94.22178114,
17300,,,71.7572113,,94.73748268,
17400,,,72.03265493,,95.2561738,
17500,,,72.30968612,,95.77785449,
